RQ,Metric,Group,count,mean,std,min,25%,median,75%,max
RQ01,changed_files,overall,17107.0000,25.8676,422.9514,0.0000,1.0000,2.0000,4.0000,28662.0000
RQ01,changed_files,CLOSED,4638.0000,57.2725,683.2264,0.0000,1.0000,1.0000,3.0000,28662.0000
RQ01,changed_files,MERGED,12469.0000,14.1861,267.0610,0.0000,1.0000,2.0000,4.0000,23058.0000
RQ01,additions,overall,17107.0000,1284.6542,38894.6145,0.0000,2.0000,17.0000,101.0000,2901110.0000
RQ01,additions,CLOSED,4638.0000,3556.8575,74103.5607,0.0000,2.0000,16.0000,103.0000,2901110.0000
RQ01,additions,MERGED,12469.0000,439.4798,5532.4320,0.0000,3.0000,18.0000,101.0000,416516.0000
RQ01,deletions,overall,17107.0000,1043.4349,23586.2411,0.0000,1.0000,3.0000,19.0000,1521501.0000
RQ01,deletions,CLOSED,4638.0000,3333.6662,45054.4223,0.0000,0.0000,1.0000,12.0000,1521501.0000
RQ01,deletions,MERGED,12469.0000,191.5548,2373.2788,0.0000,1.0000,4.0000,22.0000,100096.0000
RQ02,analysis_time_hours,overall,17107.0000,900.4311,3944.1506,1.0000,8.5700,37.3100,216.8800,92293.5900
RQ02,analysis_time_hours,CLOSED,4638.0000,2393.5297,6870.3251,1.0000,17.6775,126.0300,1212.5575,92293.5900
RQ02,analysis_time_hours,MERGED,12469.0000,345.0544,1628.0758,1.0000,6.8500,25.8400,120.4000,52976.2400
RQ03,body_length,overall,17107.0000,1032.7727,1809.1744,0.0000,112.0000,497.0000,1266.0000,32402.0000
RQ03,body_length,CLOSED,4638.0000,1103.3092,2051.6992,0.0000,114.0000,514.0000,1305.2500,30850.0000
RQ03,body_length,MERGED,12469.0000,1006.5357,1709.5593,0.0000,111.0000,487.0000,1251.0000,32402.0000
RQ04,participants,overall,17107.0000,2.9541,4.3894,0.0000,2.0000,2.0000,3.0000,277.0000
RQ04,participants,CLOSED,4638.0000,3.5821,8.0323,0.0000,2.0000,3.0000,4.0000,277.0000
RQ04,participants,MERGED,12469.0000,2.7205,1.4961,1.0000,2.0000,2.0000,3.0000,39.0000
RQ04,comments,overall,17107.0000,2.6020,8.2934,0.0000,0.0000,1.0000,3.0000,589.0000
RQ04,comments,CLOSED,4638.0000,3.7809,14.7647,0.0000,1.0000,2.0000,4.0000,589.0000
RQ04,comments,MERGED,12469.0000,2.1634,3.5471,0.0000,0.0000,1.0000,3.0000,136.0000
RQ05,changed_files,overall,17107.0000,25.8676,422.9514,0.0000,1.0000,2.0000,4.0000,28662.0000
RQ05,changed_files,CLOSED,4638.0000,57.2725,683.2264,0.0000,1.0000,1.0000,3.0000,28662.0000
RQ05,changed_files,MERGED,12469.0000,14.1861,267.0610,0.0000,1.0000,2.0000,4.0000,23058.0000
RQ05,additions,overall,17107.0000,1284.6542,38894.6145,0.0000,2.0000,17.0000,101.0000,2901110.0000
RQ05,additions,CLOSED,4638.0000,3556.8575,74103.5607,0.0000,2.0000,16.0000,103.0000,2901110.0000
RQ05,additions,MERGED,12469.0000,439.4798,5532.4320,0.0000,3.0000,18.0000,101.0000,416516.0000
RQ05,deletions,overall,17107.0000,1043.4349,23586.2411,0.0000,1.0000,3.0000,19.0000,1521501.0000
RQ05,deletions,CLOSED,4638.0000,3333.6662,45054.4223,0.0000,0.0000,1.0000,12.0000,1521501.0000
RQ05,deletions,MERGED,12469.0000,191.5548,2373.2788,0.0000,1.0000,4.0000,22.0000,100096.0000
RQ05,total_lines,overall,17107.0000,2328.0891,46248.6021,0.0000,4.0000,27.0000,141.0000,2901110.0000
RQ05,total_lines,CLOSED,4638.0000,6890.5237,87862.2772,0.0000,3.0000,23.0000,141.0000,2901110.0000
RQ05,total_lines,MERGED,12469.0000,631.0346,7273.0234,0.0000,5.0000,28.0000,141.0000,516250.0000
RQ06,analysis_time_hours,overall,17107.0000,900.4311,3944.1506,1.0000,8.5700,37.3100,216.8800,92293.5900
RQ06,analysis_time_hours,CLOSED,4638.0000,2393.5297,6870.3251,1.0000,17.6775,126.0300,1212.5575,92293.5900
RQ06,analysis_time_hours,MERGED,12469.0000,345.0544,1628.0758,1.0000,6.8500,25.8400,120.4000,52976.2400
RQ07,body_length,overall,17107.0000,1032.7727,1809.1744,0.0000,112.0000,497.0000,1266.0000,32402.0000
RQ07,body_length,CLOSED,4638.0000,1103.3092,2051.6992,0.0000,114.0000,514.0000,1305.2500,30850.0000
RQ07,body_length,MERGED,12469.0000,1006.5357,1709.5593,0.0000,111.0000,487.0000,1251.0000,32402.0000
RQ08,participants,overall,17107.0000,2.9541,4.3894,0.0000,2.0000,2.0000,3.0000,277.0000
RQ08,participants,CLOSED,4638.0000,3.5821,8.0323,0.0000,2.0000,3.0000,4.0000,277.0000
RQ08,participants,MERGED,12469.0000,2.7205,1.4961,1.0000,2.0000,2.0000,3.0000,39.0000
RQ08,comments,overall,17107.0000,2.6020,8.2934,0.0000,0.0000,1.0000,3.0000,589.0000
RQ08,comments,CLOSED,4638.0000,3.7809,14.7647,0.0000,1.0000,2.0000,4.0000,589.0000
RQ08,comments,MERGED,12469.0000,2.1634,3.5471,0.0000,0.0000,1.0000,3.0000,136.0000
